ID,SMILES,AV_Bit,AV
coq_136,Cl.Cc3ccsc3C(=C\CCN1CCC[C@H](C1)C(=O)O)\c2sccc2C,0,
coq_137,CN1CCC2=C(C1)SC(=N2)C(=O)N[C@@H]3C[C@H](CC[C@@H]3NC(=O)C(=O)NC4=NC=C(Cl)C=C4)C(=O)N(C)C,0,
coq_138,OB1O[C@@H](CC[C@@H]1NC(=O)CC2=CC=CS2)CC(O)=O,0,
coq_139,O=C(O)Cc1cccc(c1)c3cc(ccc3O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)CCCCCCc5ccc(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)c(c5)c6cccc(CC(=O)O)c6,0,
coq_140,Cl.CC(C)NCC(O)COc1ccccc1OCC=C,0,
coq_141,O=C(Nc1ccc(cc1)[As](O)(=O)O[Bi]=O)CO,0,
coq_142,Cl.CN(Cc1cc(Br)cc(Br)c1N)C2CCCCC2,0,
coq_143,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)\C4=C\C(=O)\C=C/[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O,0,
coq_144,CC(CC(=O)NCC(CC)CCCC)OC(=O)CCC(=O)O,0,
coq_145,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC2=CC=CC=C2,0,
coq_146,[Na+].[O-]S(=O)(=O)CN(C)C=2C(=O)N(c1ccccc1)N(C)C=2C,0,
coq_147,CC(CC(C1=CC=CC=C1)C2=CC=CC=C2)NC(C)(C)C,0,
coq_148,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)CC1=CC=CC=C1)C(O)=O,0,
coq_149,CN(C)[C@@H](CCOc2cccc1ccccc12)c3ccccc3,0,
coq_150,CCOC(=O)COC1=CC=C2C(=O)\C=C(/OC2=C1)C3=CC=CC=C3,0,
coq_151,CC(=C\CO)/C=C/C=C(C)/C=C/C1=C(\C)CCCC1(C)C,0,
coq_152,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C/3C[C@@H](O)[C@@H](OCCCO)[C@H](O)C3=C,0,
coq_153,CC(C)N(CC[C@H](C1=CC=CC=C1)C2=C(OC(=O)C(C)C)C=CC(=C2)CO)C(C)C,0,
coq_154,[O-][N+](=O)C1=CC(=CC=C1C(=O)C2C(=O)CCCC2=O)C(F)(F)F,0,
coq_155,CC(C)c2cc3CC[C@@H]1[C@](C)(CCC[C@@]1(C)C(=O)O)c3cc2S(=O)(=O)O,0,
coq_156,CN(C)C(=O)C1=CC2=CN=C(NC3=NC=C(C=C3)N4CCNCC4)N=C2[N]1C5CCCC5,0,
coq_157,COC1=C(OC)C=C(C[N+]2(CCOCCC3CC[C@H]4C[C@@H]3C4(C)C)CCOCC2)C(=C1)Br,0,
coq_158,O=C(O)CCC(=O)O.C/C(C)=C\CN2CC[C@]1(C)c3cc(O)ccc3C[C@H]2[C@H]1C,0,
coq_159,Cl.CCCCN(CCCC)CCC(O)c2cc1c(Cl)cc(Cl)cc1c3cc(ccc23)C(F)(F)F,0,
coq_160,[Cl-].CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C,0,
coq_161,CC1=C2[NH]C(=C1C=C)C=C\3N=C(C=C\4N=C(C=C5[NH]C(=C2)C(=C5C)C=C)\C(=C4CCC([O-])=O)C)\C(=C3C)CCC([O-])=O,0,
coq_162,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(=O)C5=CC=CC(=C5)S([O-])(=O)=O,0,
coq_163,CC/1=C(\C=C\C(C)=C\C=C\C(C)=C/C(O)=O)C(C)(C)CCC1,0,
coq_164,O=S(N)(=O)c1cc(c(O)cc1Cl)C(=O)Nc2c(C)cccc2C,0,
